ID,Name,Botanical name,vine,bamboo,tree,shrub,cactus,edible,ornam.,fragrant,medicinal,wood,height range (m),germination time,germination comment,germination instructions,Description
11,Blood Orange,Citrus Sinensis Doppio Sanguinello,n,n,y,n,n,y,y,y,n,,5-10,1-2 weeks,,"Citrus Sinensis Doppio Sanguinilo, commonly known as the Double Blood Orange, is a captivating variety prized for its intensely pigmented flesh, ranging from deep ruby to almost black. This Italian cultivar boasts a complex and tart-sweet flavor profile with distinctive raspberry-like notes, making it highly sought after for juices, culinary applications, and even cocktails. Its rind also often displays a reddish blush, hinting at the vibrant treasure held within. Doppio Sanguinilo oranges are typically medium-sized and ripen later in the citrus season, offering a burst of color and flavor during the winter months.","Citrus Sinensis Doppio Sanguinilo, commonly known as the Double Blood Orange, is a captivating variety prized for its intensely pigmented flesh, ranging from deep ruby to almost black. This Italian cultivar boasts a complex and tart-sweet flavor profile with distinctive raspberry-like notes, making it highly sought after for juices, culinary applications, and even cocktails. Its rind also often displays a reddish blush, hinting at the vibrant treasure held within. Doppio Sanguinilo oranges are typically medium-sized and ripen later in the citrus season, offering a burst of color and flavor during the winter months."
12,Japanse Marple,Acer Palmatum,n,n,y,n,n,n,y,n,n,,6-10 (often smaller),2-3 weeks,,"Acer palmatum, commonly known as Japanese maple, is a deciduous tree or shrub prized for its graceful form, vibrant foliage, and captivating seasonal color. Its delicate, palmate leaves, deeply divided into five to nine lobes, emerge in spring in shades of red, green, or purple, transforming into brilliant hues of crimson, orange, and gold in autumn.  Japanese maples range in size and shape, from small, weeping cultivars to upright, vase-shaped trees, making them versatile additions to gardens of various styles and sizes.  Their elegant structure and stunning colors offer year-round interest, establishing them as a beloved and highly sought-after ornamental tree.","Acer palmatum, commonly known as Japanese maple, is a deciduous tree or shrub prized for its graceful form, vibrant foliage, and captivating seasonal color. Its delicate, palmate leaves, deeply divided into five to nine lobes, emerge in spring in shades of red, green, or purple, transforming into brilliant hues of crimson, orange, and gold in autumn.  Japanese maples range in size and shape, from small, weeping cultivars to upright, vase-shaped trees, making them versatile additions to gardens of various styles and sizes.  Their elegant structure and stunning colors offer year-round interest, establishing them as a beloved and highly sought-after ornamental tree."
13,Apricote Tree,Prunus Armeniaca,n,n,y,n,n,y,y,y,n,,5-10,1-2 weeks,,"Prunus armeniaca, commonly known as the apricot, is a deciduous tree valued for its delicious, golden-orange fruit. Native to Central Asia, this tree typically grows to a moderate size, featuring a rounded crown and ovate leaves. In early spring, it bursts into bloom with delicate pink or white flowers, which are highly attractive to pollinators. The apricot fruit is characterized by its velvety skin, juicy flesh, and a single, large pit. Apricots are enjoyed fresh, dried, canned, or used in a variety of culinary applications.","Prunus armeniaca, commonly known as the apricot, is a deciduous tree valued for its delicious, golden-orange fruit. Native to Central Asia, this tree typically grows to a moderate size, featuring a rounded crown and ovate leaves. In early spring, it bursts into bloom with delicate pink or white flowers, which are highly attractive to pollinators. The apricot fruit is characterized by its velvety skin, juicy flesh, and a single, large pit. Apricots are enjoyed fresh, dried, canned, or used in a variety of culinary applications."
14,Caucasian lime,Tilia Euchlora,n,n,y,n,n,n,y,y,y,,20-30,2-3 weeks,,"Tilia euchlora, commonly known as Caucasian Lime or Crimean Linden, is a medium-sized deciduous tree prized for its symmetrical, broadly oval crown and graceful, arching branches. It features glossy, dark green leaves that are resistant to aphids, a common issue with other lime species. In mid-summer, it produces fragrant, pale yellow flowers that attract bees, followed by small, nut-like fruits. Highly adaptable to various soil conditions and urban environments, the Caucasian Lime makes an excellent shade tree and street tree due to its tolerance of pollution and minimal mess.","Tilia euchlora, commonly known as Caucasian Lime or Crimean Linden, is a medium-sized deciduous tree prized for its symmetrical, broadly oval crown and graceful, arching branches. It features glossy, dark green leaves that are resistant to aphids, a common issue with other lime species. In mid-summer, it produces fragrant, pale yellow flowers that attract bees, followed by small, nut-like fruits. Highly adaptable to various soil conditions and urban environments, the Caucasian Lime makes an excellent shade tree and street tree due to its tolerance of pollution and minimal mess."
15,Golden Rain Tree,Koelreuteria Paniculata,n,n,y,n,n,n,y,n,n,,10-15,1-2 weeks,,"Koelreuteria paniculata, commonly known as the golden rain tree, is a deciduous tree native to eastern Asia. It's prized for its stunning display of bright yellow flowers that bloom in late summer, followed by distinctive lantern-like seed pods that turn from green to a papery brown or pink. This medium-sized tree is relatively fast-growing and adaptable to various soil conditions, making it a popular choice for urban landscapes and parks. It typically features an irregular, spreading crown and pinnately compound leaves that provide attractive fall color before dropping.","Koelreuteria paniculata, commonly known as the golden rain tree, is a deciduous tree native to eastern Asia. It's prized for its stunning display of bright yellow flowers that bloom in late summer, followed by distinctive lantern-like seed pods that turn from green to a papery brown or pink. This medium-sized tree is relatively fast-growing and adaptable to various soil conditions, making it a popular choice for urban landscapes and parks. It typically features an irregular, spreading crown and pinnately compound leaves that provide attractive fall color before dropping."
16,Currant,Ribes Rubrum,n,n,n,y,n,y,n,n,n,,1-2,2-3 weeks,,"Ribes rubrum, commonly known as the red currant, is a deciduous shrub prized for its clusters of translucent, bright red berries. Native to parts of Europe, it typically grows to around 3-6 feet tall and features palmate leaves reminiscent of maple. The berries are tart and juicy, making them popular for jams, jellies, pies, and summer puddings. Red currants are relatively easy to grow in cooler climates and prefer well-drained soil and partial shade, making them a favorite addition to home gardens and commercial fruit farms alike.","Ribes rubrum, commonly known as the red currant, is a deciduous shrub prized for its clusters of translucent, bright red berries. Native to parts of Europe, it typically grows to around 3-6 feet tall and features palmate leaves reminiscent of maple. The berries are tart and juicy, making them popular for jams, jellies, pies, and summer puddings. Red currants are relatively easy to grow in cooler climates and prefer well-drained soil and partial shade, making them a favorite addition to home gardens and commercial fruit farms alike."
17,Amur Maple,Acer Ginnala,n,n,y,n,n,n,y,n,n,,5-10,2-3 weeks,,"Acer ginnala, commonly known as Amur maple, is a small, deciduous tree or large shrub native to northeastern Asia. Highly valued for its vibrant fall foliage that transitions from yellow to brilliant red, it's a popular ornamental tree for gardens and urban landscapes. Amur maples are relatively hardy and adaptable, tolerating a range of soil conditions and pollution. Its delicate, three-lobed leaves and fragrant, creamy-white flowers in spring add to its aesthetic appeal, making it a versatile and attractive choice for small yards, hedges, or as a specimen tree.","Acer ginnala, commonly known as Amur maple, is a small, deciduous tree or large shrub native to northeastern Asia. Highly valued for its vibrant fall foliage that transitions from yellow to brilliant red, it's a popular ornamental tree for gardens and urban landscapes. Amur maples are relatively hardy and adaptable, tolerating a range of soil conditions and pollution. Its delicate, three-lobed leaves and fragrant, creamy-white flowers in spring add to its aesthetic appeal, making it a versatile and attractive choice for small yards, hedges, or as a specimen tree."
18,Bladdernut,Staphyleaceae,n,n,y,n,n,n,n,n,n,,3-8,Variable,often slow,"Staphyleaceae, commonly known as the bladdernut family, is a small family of flowering plants comprising shrubs and small trees. They are characterized by their opposite, pinnately compound leaves and distinctive, bladder-like, inflated fruit capsules that contain hard, shiny seeds. These plants are typically found in temperate regions of the Northern Hemisphere and South America, and are often appreciated for their ornamental value, bearing clusters of white or pinkish flowers in the spring.","Staphyleaceae, commonly known as the bladdernut family, is a small family of flowering plants comprising shrubs and small trees. They are characterized by their opposite, pinnately compound leaves and distinctive, bladder-like, inflated fruit capsules that contain hard, shiny seeds. These plants are typically found in temperate regions of the Northern Hemisphere and South America, and are often appreciated for their ornamental value, bearing clusters of white or pinkish flowers in the spring."
19,Hony Locust,Gleditsia Triacanthos,n,n,y,n,n,n,y,y,y,,20-30,1-2 weeks,,"Gleditsia triacanthos, commonly known as the Honey Locust, is a deciduous tree native to central North America, characterized by its fast growth and adaptability to various soil conditions. It features compound leaves, fragrant greenish-white flowers in spring, and long, twisted seed pods in the fall.  Although typically thorny, especially in the wild, many cultivars have been developed to be thornless, making them popular choices for landscaping.  Honey Locusts are valued for their filtered shade, drought tolerance, and use as a nitrogen-fixing pioneer species.","Gleditsia triacanthos, commonly known as the Honey Locust, is a deciduous tree native to central North America, characterized by its fast growth and adaptability to various soil conditions. It features compound leaves, fragrant greenish-white flowers in spring, and long, twisted seed pods in the fall.  Although typically thorny, especially in the wild, many cultivars have been developed to be thornless, making them popular choices for landscaping.  Honey Locusts are valued for their filtered shade, drought tolerance, and use as a nitrogen-fixing pioneer species."
20,Tatarian Maple,Acer Tataricum,n,n,y,n,n,n,y,n,n,,4-10,2-3 weeks,,"Acer tataricum, also known as the Tatarian maple, is a small, deciduous tree or large shrub native to southeastern Europe and southwestern Asia. It typically reaches a height of 15-20 feet and features an oval to rounded crown. Notable for its attractive, three-lobed leaves that turn a vibrant red or yellow in the fall, the Tatarian maple also produces fragrant, creamy-white flowers in the spring followed by bright red samaras (winged seeds) that persist well into the winter, providing visual interest and food for wildlife. Relatively adaptable to various soil conditions and tolerant of urban environments, it's often used as an ornamental tree in parks and gardens.","Acer tataricum, also known as the Tatarian maple, is a small, deciduous tree or large shrub native to southeastern Europe and southwestern Asia. It typically reaches a height of 15-20 feet and features an oval to rounded crown. Notable for its attractive, three-lobed leaves that turn a vibrant red or yellow in the fall, the Tatarian maple also produces fragrant, creamy-white flowers in the spring followed by bright red samaras (winged seeds) that persist well into the winter, providing visual interest and food for wildlife. Relatively adaptable to various soil conditions and tolerant of urban environments, it's often used as an ornamental tree in parks and gardens."
21,Judas Tree,Cercis Siliquastrum,n,n,y,n,n,n,y,y,y,,6-12,1-2 weeks,,"Cercis siliquastrum, commonly known as the Judas tree, is a small, deciduous tree native to the Mediterranean region. It's prized for its stunning display of vibrant pink to magenta flowers that bloom profusely along bare branches and even the trunk in early spring, before the heart-shaped leaves emerge.  The tree typically reaches a height of 20-30 feet and has an attractive, often multi-stemmed, branching habit. Following flowering, it produces flat, bean-like seed pods that can persist throughout the winter, adding to its ornamental value.","Cercis siliquastrum, commonly known as the Judas tree, is a small, deciduous tree native to the Mediterranean region. It's prized for its stunning display of vibrant pink to magenta flowers that bloom profusely along bare branches and even the trunk in early spring, before the heart-shaped leaves emerge.  The tree typically reaches a height of 20-30 feet and has an attractive, often multi-stemmed, branching habit. Following flowering, it produces flat, bean-like seed pods that can persist throughout the winter, adding to its ornamental value."
22,African Tamarisk,Tamarix Africana,n,n,y,y,n,n,y,n,y,,3-8,1-2 weeks,,"Tamarix africana, also known as African tamarisk, is a shrub or small tree native to coastal regions of the Mediterranean and North Africa. It's characterized by its graceful, feathery foliage composed of tiny, scale-like leaves that lend the plant a delicate, almost cloud-like appearance.  Pink or white flowers bloom in dense clusters along the branches, creating a beautiful display, particularly in spring and summer.  Highly adaptable, it thrives in salty soils and withstands drought and wind, making it a valuable plant for erosion control and landscaping in harsh coastal environments.","Tamarix africana, also known as African tamarisk, is a shrub or small tree native to coastal regions of the Mediterranean and North Africa. It's characterized by its graceful, feathery foliage composed of tiny, scale-like leaves that lend the plant a delicate, almost cloud-like appearance.  Pink or white flowers bloom in dense clusters along the branches, creating a beautiful display, particularly in spring and summer.  Highly adaptable, it thrives in salty soils and withstands drought and wind, making it a valuable plant for erosion control and landscaping in harsh coastal environments."
23,Oriental Plane Tree,Platanus Orientalis,n,n,y,n,n,n,y,n,y,,25-30,1-2 weeks,,"Platanus orientalis, commonly known as the Oriental plane or Old World sycamore, is a large, deciduous tree native to southeastern Europe and western Asia.  It is characterized by its massive trunk, often with a fluted appearance, and its peeling bark that reveals patches of pale green, creamy white, and brown. Its broad, palmate leaves are similar to those of maple trees, and it produces spherical, fuzzy fruits that hang in clusters throughout the winter. This long-lived and majestic tree is widely planted as an ornamental shade tree in urban areas due to its tolerance of pollution and ability to withstand pruning.","Platanus orientalis, commonly known as the Oriental plane or Old World sycamore, is a large, deciduous tree native to southeastern Europe and western Asia.  It is characterized by its massive trunk, often with a fluted appearance, and its peeling bark that reveals patches of pale green, creamy white, and brown. Its broad, palmate leaves are similar to those of maple trees, and it produces spherical, fuzzy fruits that hang in clusters throughout the winter. This long-lived and majestic tree is widely planted as an ornamental shade tree in urban areas due to its tolerance of pollution and ability to withstand pruning."
24,Plum Tree,Prunus Domestica,n,n,y,n,n,y,y,y,n,,5-10,1-2 weeks,,"Prunus domestica, commonly known as the European plum, is a deciduous tree or shrub prized for its sweet, juicy fruit. This species typically features oval, finely toothed leaves and small, white, five-petaled flowers that bloom in spring.  The plums themselves vary widely in color, size, and shape depending on the cultivar, ranging from yellow and green to deep purple and blue. Beyond its delectable fruit, Prunus domestica is also valued for its ornamental qualities, adding beauty to gardens and orchards.","Prunus domestica, commonly known as the European plum, is a deciduous tree or shrub prized for its sweet, juicy fruit. This species typically features oval, finely toothed leaves and small, white, five-petaled flowers that bloom in spring.  The plums themselves vary widely in color, size, and shape depending on the cultivar, ranging from yellow and green to deep purple and blue. Beyond its delectable fruit, Prunus domestica is also valued for its ornamental qualities, adding beauty to gardens and orchards."
25,American Basswood,Tilia Americana,n,n,y,n,n,n,y,y,y,,20-30,2-3 weeks,,"Tilia americana, commonly known as the American basswood or American linden, is a large, deciduous tree native to eastern North America. It's prized for its fragrant, creamy-white flowers that attract bees, its soft, light-colored wood used for carving, and its broad, heart-shaped leaves that turn yellow in the fall. This fast-growing tree offers excellent shade, making it a popular choice for parks and large landscapes, and its inner bark has been traditionally used for making rope and mats.","Tilia americana, commonly known as the American basswood or American linden, is a large, deciduous tree native to eastern North America. It's prized for its fragrant, creamy-white flowers that attract bees, its soft, light-colored wood used for carving, and its broad, heart-shaped leaves that turn yellow in the fall. This fast-growing tree offers excellent shade, making it a popular choice for parks and large landscapes, and its inner bark has been traditionally used for making rope and mats."
26,Fig Tree,Ficus Carica,n,n,y,n,n,y,n,n,y,,5-10,2-4 weeks,,"Ficus carica, commonly known as the common fig, is a deciduous tree or large shrub native to the Mediterranean region and western Asia.  Valued for its sweet and nutritious fruit, the fig tree features distinctive lobed leaves and a smooth, gray bark.  The ""fruit"" is actually a syconium, a fleshy receptacle that encloses numerous tiny flowers internally, resulting in a unique structure.  Fig trees are relatively easy to cultivate in warm climates and are widely grown for both fresh consumption and drying.","Ficus carica, commonly known as the common fig, is a deciduous tree or large shrub native to the Mediterranean region and western Asia.  Valued for its sweet and nutritious fruit, the fig tree features distinctive lobed leaves and a smooth, gray bark.  The ""fruit"" is actually a syconium, a fleshy receptacle that encloses numerous tiny flowers internally, resulting in a unique structure.  Fig trees are relatively easy to cultivate in warm climates and are widely grown for both fresh consumption and drying."
27,Southern Catalpa,Catalpa Bignonioides,n,n,y,n,n,n,y,n,n,,10-15,2-3 weeks,,"Catalpa bignonioides, commonly known as the Southern Catalpa or Indian Bean Tree, is a medium-sized deciduous tree celebrated for its large, heart-shaped leaves, showy clusters of fragrant, trumpet-shaped white flowers with purple and yellow markings, and distinctive, long, slender bean-like seed pods that persist through the winter. This fast-growing tree typically has a broad, irregular crown and somewhat coarse texture, making it a visually striking addition to parks and gardens. While appreciated for its ornamental appeal, Catalpa can be prone to messiness due to leaf and pod drop.","Catalpa bignonioides, commonly known as the Southern Catalpa or Indian Bean Tree, is a medium-sized deciduous tree celebrated for its large, heart-shaped leaves, showy clusters of fragrant, trumpet-shaped white flowers with purple and yellow markings, and distinctive, long, slender bean-like seed pods that persist through the winter. This fast-growing tree typically has a broad, irregular crown and somewhat coarse texture, making it a visually striking addition to parks and gardens. While appreciated for its ornamental appeal, Catalpa can be prone to messiness due to leaf and pod drop."
28,Sweet Tamarind,Tamarindus Indica,n,n,y,n,n,y,n,n,y,,20-30,1-3 weeks,,"Tamarindus indica, commonly known as tamarind, is a long-lived, slow-growing tropical tree prized for its edible, pod-like fruit. Native to Africa, it's now cultivated widely across the globe, particularly in India and Southeast Asia. The tree boasts a broad, spreading crown and pinnate leaves, while the fruit pods contain a tangy, sticky pulp that is used extensively in cuisines around the world for its sweet and sour flavor. Beyond culinary uses, tamarind also holds medicinal and ornamental value.","Tamarindus indica, commonly known as tamarind, is a long-lived, slow-growing tropical tree prized for its edible, pod-like fruit. Native to Africa, it's now cultivated widely across the globe, particularly in India and Southeast Asia. The tree boasts a broad, spreading crown and pinnate leaves, while the fruit pods contain a tangy, sticky pulp that is used extensively in cuisines around the world for its sweet and sour flavor. Beyond culinary uses, tamarind also holds medicinal and ornamental value."
29,Hackberry Tree,Celtis Occidentalis,n,n,y,n,n,y,n,n,n,,15-25,Variable,often slow,"Celtis occidentalis, commonly known as the common hackberry, is a medium to large deciduous tree native to North America. Known for its warty bark, often described as ""stacked pancakes,"" and its distinctive asymmetrical leaves, the hackberry is a hardy and adaptable tree that thrives in a wide range of soil conditions and tolerates urban environments well. It produces small, round, purplish-red fruits, which provide food for birds and other wildlife, and is often used as a shade tree in parks and along streets. While not considered a highly ornamental tree, its resilience and wildlife value make it a valuable addition to many landscapes.","Celtis occidentalis, commonly known as the common hackberry, is a medium to large deciduous tree native to North America. Known for its warty bark, often described as ""stacked pancakes,"" and its distinctive asymmetrical leaves, the hackberry is a hardy and adaptable tree that thrives in a wide range of soil conditions and tolerates urban environments well. It produces small, round, purplish-red fruits, which provide food for birds and other wildlife, and is often used as a shade tree in parks and along streets. While not considered a highly ornamental tree, its resilience and wildlife value make it a valuable addition to many landscapes."
30,Cornelian cherry,Cornus Mas,n,n,y,n,n,y,y,y,n,,4-8,Variable,may require stratification,"Cornus mas, also known as the Cornelian cherry, is a deciduous shrub or small tree prized for its early spring display of bright yellow flowers. These tiny blooms appear on bare branches before the leaves emerge, providing a vibrant splash of color in the late winter landscape.  Following the flowers, it produces oblong, glossy red fruits that ripen in late summer. These fruits are edible, although tart, and are often used to make jams, jellies, and liqueurs.  Cornus mas is a hardy and adaptable plant, making it a popular choice for hedging, screening, or as a specimen tree in gardens.","Cornus mas, also known as the Cornelian cherry, is a deciduous shrub or small tree prized for its early spring display of bright yellow flowers. These tiny blooms appear on bare branches before the leaves emerge, providing a vibrant splash of color in the late winter landscape.  Following the flowers, it produces oblong, glossy red fruits that ripen in late summer. These fruits are edible, although tart, and are often used to make jams, jellies, and liqueurs.  Cornus mas is a hardy and adaptable plant, making it a popular choice for hedging, screening, or as a specimen tree in gardens."
